,y_test,xgb_y_pred,y_test
395,19,18.997015,19
396,20,23.47091866,20
397,10.5,9.831740379,10.5
398,8,7.501000404,8
399,23,18.03754807,23
400,39,35.75754547,39
401,26.5,32.65189743,26.5
402,10.2,14.69362259,10.2
403,2.8,5.112869263,2.8
404,15.45,14.6624403,15.45
405,33,34.16559219,33
406,15,14.99561882,15
407,3.08,3.880843878,3.08
408,20.5,20.246418,20.5
409,28,24.15545464,28
410,9.3,10.26329708,9.3
411,25.8,22.0213089,25.8
412,23,23.05097389,23
413,16.5,17.06745338,16.5
414,18.8,17.23084068,18.8
415,9.5,11.1752758,9.5
416,11,12.81328678,11
417,20,20.97146416,20
418,28,27.9496994,28
419,5.9,5.869778156,5.9
420,14.5,12.23652744,14.5
421,34,33.53530502,34
422,25,25.00569153,25
423,23,22.95798683,23
424,20,20.0237236,20
425,4,4.541378975,4
426,21.38,19.88055801,21.38
427,12,12.08099556,12
428,7.2,8.963904381,7.2
429,19.38,21.02831841,19.38
430,14.38,16.98167229,14.38
431,10.98,10.70803356,10.98
432,17,17.00129128,17
433,26.9,29.22223282,26.9
434,10,11.55795097,10
435,3.08,3.085383177,3.08
436,5.5,5.859825134,5.5
437,14.7,14.04841614,14.7
438,17,17.08055496,17
439,11,11.00113201,11
440,18.5,21.88454056,18.5
441,9.88,9.008107185,9.88
442,23.5,21.76962852,23.5
443,17.6,19.8120575,17.6
444,10.5,11.86434937,10.5
445,10.5,16.17623138,10.5
446,20.98,19.96022606,20.98
447,21,20.84802055,21
448,16.8,15.78301334,16.8
449,15.8,17.77650452,15.8
450,12.68,13.53732586,12.68
451,15,22.43745422,15
452,1.5,1.668713093,1.5
453,11,10.97205734,11
454,4.68,6.509521961,4.68
455,25,24.42655563,25
456,15,15.59562492,15
457,10.3,11.57310867,10.3
458,7.3,6.066506863,7.3
459,19,18.92100906,19
460,21.9,21.98100471,21.9
461,5.9,5.948297977,5.9
462,12.5,14.56341267,12.5
463,28.8,30.95317841,28.8
464,3.8,3.537467241,3.8
465,28,20.47200966,28
466,5.38,6.863831043,5.38
467,35,35.72818375,35
468,28,27.64329529,28
