,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
8280,6.6,1,12.28,6.59,70,2,0,0,1,0,15,1,0,1,0,2,2
8281,6.5,1,20.61,3.34,77,1,0,0,1,0,7,1,1,1,0,3,0
8282,6.3,1,15.82,3.74,73,1,0,0,1,0,1,1,1,1,0,3,1
8283,6.3,1,17.24,11.41,89,1,0,0,1,0,7,1,1,1,0,3,2
8284,6.5,1,28.2,12.54,111,1,0,1,1,0,7,1,0,1,0,3,0
8285,6.88,1,15.63,6.25,54,1,0,0,1,0,15,1,0,1,0,3,1
8286,7.0,0,12.49,9.47,50,2,0,0,1,0,7,1,1,1,0,3,1
8287,6.1,1,11.76,6.68,49,0,0,0,1,0,15,1,0,1,0,3,2
8288,7.0,1,12.49,6.01,30,2,0,0,1,0,7,1,0,1,0,3,0
8289,6.3,1,9.47,2.6,15,1,0,0,1,0,7,1,0,1,0,3,0
8290,7.0,1,16.26,5.12,79,1,0,0,1,0,7,1,0,1,0,1,6
8291,6.2,1,13.85,7.42,107,1,0,0,1,0,7,1,0,1,0,3,0
8292,6.0,1,8.32,0.51,17,0,0,0,1,0,7,1,0,1,0,3,0
8293,6.5,1,33.63,6.6,140,2,0,1,1,0,1,1,0,1,0,1,11
8294,6.78,1,8.53,2.73,36,0,0,0,1,0,7,1,1,1,0,3,0
8295,7.0,0,28.2,13.76,97,1,0,0,1,0,7,1,0,1,0,3,0
8296,6.6,0,28.34,4.31,54,1,0,0,1,3,7,0,0,0,0,3,2
8297,6.6,0,7.7,0.37,120,1,0,0,1,0,15,1,0,1,1,3,0
8298,6.88,0,11.78,2.57,41,1,0,0,1,0,7,1,0,1,0,3,1
8299,6.88,1,25.6,12.31,111,1,0,1,1,1,7,1,1,0,0,2,3
8300,6.99,1,8.53,3.52,38,0,0,0,1,0,7,1,0,1,0,3,0
8301,6.98,1,16.15,15.36,75,0,0,0,1,0,7,1,0,1,0,1,8
8302,6.68,1,12.49,6.68,61,1,0,0,1,0,15,1,0,1,0,3,1
8303,6.68,1,12.49,4.64,30,1,0,0,1,0,15,1,1,1,0,3,0
8304,6.2,0,14.26,5.9,80,0,0,0,1,2,7,0,0,0,0,3,5
8305,6.5,1,8.53,5.93,38,1,0,0,1,0,15,1,0,1,0,3,1
8306,6.0,1,13.44,3.36,24,0,0,0,1,0,7,1,1,1,0,3,0
8307,6.5,0,29.3,9.58,80,0,0,1,1,1,7,1,0,0,0,3,1
8308,6.0,1,32.12,8.59,139,2,0,1,1,0,3,1,0,1,0,3,0
8309,6.0,1,12.71,6.39,60,1,0,1,0,1,7,1,1,0,0,3,2
8310,6.68,1,21.89,10.69,82,1,0,0,1,0,7,0,0,1,0,1,6
8311,6.8,1,15.62,4.15,76,1,0,0,1,0,15,0,0,1,0,3,2
8312,7.0,1,24.48,6.58,60,0,0,0,1,2,15,1,0,0,0,1,7
8313,6.0,1,14.85,3.02,64,1,0,0,1,0,15,1,0,1,0,3,1
8314,6.35,1,19.19,10.3,79,0,0,0,1,1,7,1,0,0,0,3,0
8315,6.8,1,57.64,17.84,167,0,0,1,1,1,15,1,1,0,0,3,0
8316,6.78,0,12.28,7.24,49,0,0,0,1,1,7,1,1,0,0,3,2
8317,6.3,0,26.58,14.33,81,0,0,0,1,0,7,0,0,1,0,3,2
8318,6.98,1,11.32,5.74,29,2,0,0,1,0,15,1,0,1,0,3,0
8319,6.5,0,12.49,3.83,66,1,0,0,1,0,15,0,0,1,0,3,0
8320,6.8,1,14.06,2.29,47,2,0,0,1,0,15,1,1,1,0,2,4
8321,6.7,0,15.17,5.11,52,1,0,0,1,0,15,1,0,1,0,3,1
8322,6.49,1,11.71,5.23,36,1,0,0,1,0,15,1,0,1,0,3,0
8323,6.0,1,16.04,4.25,135,2,0,1,1,0,7,1,0,1,0,3,4
8324,6.9,1,22.69,8.62,92,1,0,1,1,0,15,1,0,1,0,3,1
8325,6.8,1,13.33,7.75,59,0,0,0,1,0,15,1,0,1,0,1,8
8326,6.6,1,13.13,2.19,120,1,0,0,1,0,15,1,0,1,0,3,0
8327,6.78,1,10.2,1.57,120,0,0,0,1,0,15,0,0,1,1,3,0
8328,6.8,1,14.58,6.8,57,0,0,0,1,0,15,1,1,1,0,3,3
8329,6.0,1,17.24,6.04,86,0,0,0,1,0,15,0,0,1,0,3,3
8330,6.98,1,22.71,7.42,80,1,0,0,1,0,7,1,0,1,0,3,0
