,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
22211,14.3,本田,34.71,22.95,87,广州,0,0,1,0,1,1,0,1,0,3,0
22212,14.38,奥迪,22.19,1.47,27,广州,0,0,1,0,1,1,1,1,0,3,0
22213,15.0,奔驰,63.83,9.47,118,北京,0,1,1,1,15,1,0,0,0,3,1
22214,14.38,大众,18.64,3.63,39,东莞,0,0,1,1,1,1,0,0,0,3,0
22215,14.58,丰田,21.36,5.46,58,深圳,0,0,1,0,1,1,0,1,0,3,0
22216,14.5,大众,25.5,6.72,52,郑州,0,0,1,0,1,1,1,1,0,3,2
22217,15.0,宝马,53.69,10.91,118,北京,0,1,1,2,60,1,1,0,0,1,11
22218,14.8,奔驰,56.23,17.98,109,北京,0,1,1,0,60,1,1,1,0,1,11
22219,14.5,本田,28.2,4.82,63,珠海,0,0,1,0,60,1,0,1,0,3,1
22220,14.5,领克,19.52,1.4,12,温州,0,0,1,0,60,1,0,1,1,3,0
22221,14.0,上汽大通MAXUS,15.28,0.62,132,北京,0,0,1,0,60,1,0,1,1,3,0
22222,15.0,路虎,50.8,11.22,66,北京,0,1,1,0,60,1,0,1,0,2,4
22223,14.0,奥迪,38.32,2.48,94,青岛,0,1,1,2,60,0,0,0,0,3,4
22224,14.0,凯迪拉克,37.98,9.93,80,合肥,0,0,1,0,60,1,0,1,0,2,1
22225,14.0,丰田,27.01,14.97,120,武汉,0,1,1,0,60,1,1,1,0,3,0
22226,15.0,奥迪,42.76,8.36,69,昆明,0,1,1,0,60,0,0,1,0,3,5
22227,15.0,凯迪拉克,37.98,7.72,66,广州,0,0,1,0,60,1,0,1,0,3,0
22228,14.0,路虎,66.0,18.39,88,宁波,0,0,1,2,60,0,0,0,0,1,7
22229,14.6,宝马,31.91,7.82,59,武汉,0,0,1,1,30,1,0,0,0,1,6
22230,14.99,宝马,30.03,8.71,62,苏州,0,0,1,0,15,1,1,1,0,3,0
22231,15.0,宝马,60.74,11.4,114,邢台,0,1,1,2,60,1,0,0,0,2,2
22232,15.0,宝马,38.95,7.0,86,北京,0,1,1,0,60,1,0,1,0,3,2
22233,14.6,凯迪拉克,31.89,10.64,52,安顺,0,0,1,0,60,1,0,1,0,3,2
22234,14.0,宝马,53.14,6.6,120,北京,0,1,1,0,60,1,0,1,0,1,6
22235,14.5,讴歌,47.65,7.15,60,广州,0,0,1,0,60,1,0,1,0,3,0
22236,14.98,奥迪,36.14,8.89,81,东莞,0,0,1,0,1,1,0,1,0,3,0
22237,15.0,雷克萨斯,38.97,20.55,107,昆明,0,1,1,0,60,1,0,1,0,3,0
22238,14.5,大众,23.35,6.83,30,成都,0,0,1,0,60,0,0,1,0,3,1
22239,14.0,别克,40.15,6.51,75,北京,0,0,1,0,7,1,1,1,0,1,7
22240,15.0,本田,26.03,10.9,50,北京,0,0,1,0,60,1,1,1,0,1,7
