,汽车品牌,二手车价格,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
265,哈弗,2.26,11.48,13.9,110,成都,1,1,0,0,3,1,1,1,0,3,0
266,日产,1.35,8.95,13.02,168,洛阳,0,1,0,0,1,1,0,1,0,3,4
267,马自达,2.98,16.26,15.34,142,成都,0,1,1,0,3,0,0,1,0,1,9
268,哈弗,2.7,7.18,8.49,74,哈尔滨,0,1,0,3,3,1,0,0,0,3,1
269,大众,2.6,20.06,13.75,127,北京,0,1,1,2,3,0,0,0,0,1,11
270,别克,1.98,10.94,7.46,118,成都,0,1,1,0,3,0,0,1,0,1,14
271,别克,1.88,14.36,9.99,128,扬州,0,1,0,2,3,1,0,0,0,1,7
272,标致,1.38,11.97,16.35,133,成都,0,1,0,1,1,1,0,0,0,1,6
273,荣威,1.75,9.35,10.18,104,苏州,0,1,0,0,1,1,0,1,0,3,3
274,雪佛兰,2.28,11.36,10.92,132,成都,0,1,0,1,1,1,0,0,0,3,3
275,铃木,1.2,4.68,8.22,114,菏泽,0,1,0,0,3,1,1,1,0,3,0
276,北汽新能源,2.6,19.7,2.91,83,北京,0,0,1,0,1,1,1,1,0,3,0
277,观致,2.7,14.59,10.53,78,哈尔滨,0,1,1,1,3,1,0,0,0,1,6
278,日产,2.8,10.98,14.32,125,德阳,0,1,0,2,3,1,0,0,0,1,12
279,宝骏,3.0,9.75,16.32,82,亳州,0,0,0,0,3,1,1,1,0,2,5
280,北汽新能源,2.9,9.16,3.93,60,北京,0,0,1,0,1,1,1,1,0,3,0
281,福特,2.68,8.33,9.63,96,沈阳,0,1,0,0,1,1,1,1,0,3,2
282,荣威,2.35,9.46,11.4,96,绵阳,0,0,0,0,3,1,1,1,0,3,3
283,福特,1.45,15.17,4.11,169,郑州,0,1,1,1,1,1,0,0,0,1,6
284,比亚迪,1.6,9.64,9.33,112,成都,0,1,0,0,1,1,0,1,0,3,3
285,福特,2.48,10.83,8.08,115,成都,0,1,0,0,1,1,1,1,0,3,0
286,福特,1.85,9.48,13.93,125,上海,0,1,0,1,1,1,1,0,0,1,8
287,标致,2.68,11.88,6.08,114,苏州,0,1,1,1,1,1,1,0,0,3,3
288,铃木,1.0,5.2,7.16,126,唐山,0,1,0,0,3,1,1,1,0,1,7
289,华泰,2.79,14.63,0.99,137,北京,0,1,0,1,1,1,0,0,0,3,0
290,名爵,3.0,8.0,6.49,104,天津,0,1,1,0,1,1,1,1,0,3,2
291,江淮,2.68,12.57,8.38,98,成都,0,0,0,0,1,1,0,1,0,3,2
292,大众,2.4,8.34,7.91,126,唐山,0,1,0,3,3,1,1,0,0,3,4
