,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
11051,6.0,1,20.84,16.24,99,0,0,1,1,1,3,1,1,0,0,1,9
11052,6.8,1,11.45,3.38,32,1,0,0,1,0,15,1,1,1,0,2,4
11053,6.5,1,16.15,7.66,56,0,0,0,1,0,3,1,1,1,0,3,0
11054,6.8,1,12.29,0.97,19,0,0,0,1,0,15,1,1,1,0,3,0
11055,6.5,1,12.49,3.59,56,1,0,0,1,0,3,1,0,1,0,3,0
11056,6.0,0,32.0,22.83,93,2,0,1,1,1,3,1,1,0,0,3,2
11057,7.0,1,16.77,15.78,77,0,0,0,1,0,7,0,0,1,0,3,3
11058,6.5,0,14.96,10.11,45,0,0,0,1,0,3,1,0,1,0,3,2
11059,6.8,1,22.69,16.7,70,0,0,0,1,0,3,1,0,1,0,1,7
11060,7.0,0,20.73,13.85,87,1,0,1,1,2,3,1,0,0,0,1,6
11061,6.2,1,14.28,5.74,70,2,0,0,1,0,3,1,0,1,0,3,4
11062,6.5,1,30.37,12.24,66,2,0,0,1,0,3,1,1,1,0,3,0
11063,6.0,1,43.2,23.25,153,2,0,1,1,0,7,1,0,1,0,3,2
11064,7.0,1,9.16,1.61,15,1,0,0,1,0,3,0,0,1,0,3,0
11065,6.2,0,11.04,4.24,22,2,0,0,1,0,3,1,0,1,0,3,0
11066,6.88,1,23.75,16.31,94,0,0,0,1,1,7,1,0,0,0,3,0
11067,6.88,1,60.31,16.2,144,1,0,1,1,1,3,1,0,0,0,3,0
11068,7.0,1,15.72,6.22,63,1,0,0,1,0,3,1,0,1,0,3,0
11069,6.58,1,16.15,7.35,91,0,0,1,1,1,7,1,0,0,0,3,0
11070,6.38,1,30.37,10.87,78,2,0,0,1,1,3,1,0,0,0,3,1
11071,6.48,1,10.3,3.87,18,0,0,0,0,0,3,1,1,1,0,1,6
11072,6.5,1,7.7,9.16,62,1,0,0,0,1,3,1,1,0,0,3,5
11073,6.28,0,25.55,9.88,134,2,0,1,1,0,3,1,0,1,0,3,4
11074,6.5,1,12.49,5.71,42,1,0,0,1,0,3,1,1,1,0,3,0
11075,6.0,1,12.49,14.62,71,1,0,1,0,0,3,0,0,1,0,1,11
11076,6.2,1,19.52,12.59,99,2,0,1,1,0,3,1,0,1,0,3,1
11077,7.0,1,24.59,13.32,112,0,0,1,1,0,3,0,0,1,0,3,0
11078,6.0,1,26.03,13.5,125,2,0,1,1,1,3,1,0,0,0,1,8
11079,6.8,0,18.11,6.71,58,1,0,0,1,0,3,1,0,1,0,3,1
11080,7.0,1,12.49,5.08,48,1,0,0,1,2,3,1,1,0,0,3,1
11081,6.3,1,17.3,11.16,93,2,0,0,1,2,3,1,0,0,0,3,0
11082,6.5,1,30.14,8.83,121,2,0,1,1,0,3,1,0,1,0,3,0
