,y_test,xgb_y_pred,y_test,,,,,,,,,,,
230,8,7.112485886,8,,,,,,,,,,,
231,17.5,15.59298897,17.5,,,,,,,,,,,
232,25,21.49451065,25,,,,,,,,,,,
233,17,16.92544937,17,,,,,,,,,,,
234,23,22.92062759,23,,,,,,,,,,,
235,20,19.78098869,20,,,,,,,,,,,
236,19.5,16.99489212,19.5,,,,,,,,,,,
237,24.5,25.08250046,24.5,,,,,,,,,,,
238,25,24.33979034,25,,,,,,,,,,,
239,20.5,19.75559235,20.5,,,,,,,,,,,
240,1.5,1.658454657,1.5,,,,,,,,,,,
241,20.58,18.49882889,20.58,,,,,,,,,,,
242,25.5,28.51655388,25.5,,,,,,,,,,,
243,20.38,22.1450386,20.38,,,,,,,,,,,
244,22.8,21.2413311,22.8,,,,,,,,,,,
245,21.98,20.73680305,21.98,,,,,,,,,,,
246,15,15.05771255,15,,,,,,,,,,,
247,19.5,20.31255341,19.5,,,,,,,,,,,
248,20,19.92156029,20,,,,,,,,,,,
249,19.8,20.1986599,19.8,,,,,,,,,,,
250,11.6,17.96222687,11.6,,,,,,,,,,,
251,20,29.03827095,20,,,,,,,,,,,
252,26,26.92546272,26,,,,,,,,,,,
253,17,17.23114204,17,,,,,,,,,,,
254,6.5,6.848464012,6.5,,,,,,,,,,,
255,2.3,1.689413428,2.3,,,,,,,,,,,
256,21,20.91054916,21,,,,,,,,,,,
257,3.5,3.104210138,3.5,,,,,,,,,,,
258,11.3,8.914499283,11.3,,,,,,,,,,,
259,25.5,21.90361404,25.5,,,,,,,,,,,
260,16,15.96953678,16,,,,,,,,,,,
261,1.2,1.610933781,1.2,,,,,,,,,,,
262,15,15.02657413,15,,,,,,,,,,,
263,6,5.992519379,6,,,,,,,,,,,
264,20,20.05265617,20,,,,,,,,,,,
265,15.8,17.7276001,15.8,,,,,,,,,,,
266,8.8,11.17994404,8.8,,,,,,,,,,,
267,3.4,3.129781008,3.4,,,,,,,,,,,
268,3.2,4.521613598,3.2,,,,,,,,,,,
